asset_id,file,usage,owner,creator,source,licence,consent_release,file_hash_sha256,dimensions,duration,format,accessibility_text,focal_point,approval_status,generated_edited_disclosure,expiry,replacement_history
asset-f259d46a7838,assets/community/community-connect-screen-report-form.webp,community-connect/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,1f7a07d0581db293977b4751bd5ecb40e3eb6a401927e18812face2712bd073f,not-read,not applicable / not measured,WEBP,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-7503fdf46d56,assets/community/community-connect-screen-splash.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,4451034eb3a5e96bbc690be33da6f5edde313d44bb2c9f40ada335754889f91b,282×504,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-c37e0f6352e8,assets/community/community-connect-screen-splash.webp,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,7e56bf8feaf90fce6c6e276e1fc9d4dde540f0da0bc348df1003ebb1da6b583e,not-read,not applicable / not measured,WEBP,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-4dd75c0b84b8,assets/face-the-nation/ftn-badge-logo.jpg,facethenation/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,9e1c345199cfb8733db5222b74302d2a3967c44ba4ba76c7b1dc622223a43307,800×800,not applicable / not measured,JPG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-ddf25135f60d,assets/face-the-nation/ftn-hero-master-shot.jpg,css/components/face-the-nation.css,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,64f7e5066df96ee5ef33c980611fbbb78af7ae5464a39702affbcc98ca9216a8,1536×1024,not applicable / not measured,JPG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-82d5c62306d2,assets/home/ftn-ecosystem-constellation-v1.webp,index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,5dae4038b57033f7c7c8ed6a5f1fbf3bdd0fc6090a74ca1fdff5a9ee6123c987,not-read,not applicable / not measured,WEBP,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-906853105110,assets/icons/apple-touch-icon.png,CLAUDE.md,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,289ebdb44380b1697caec6948c442aeb68a1e1db791ea21ebb9c86505ccdd381,180×180,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-1112caeda5a9,assets/icons/favicon-32.png,CLAUDE.md,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,e360eebea0579635bf5c797e2d1e0ea1e339efbf80a8c46a0def0582209edea5,32×32,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-f91aeb12cafc,assets/icons/favicon.svg,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,fc809bbd86ce834872b1819e4bbc07ed3dc463f225ab004e063793948d495663,32×32,not applicable / not measured,SVG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-0e1b2d9ed807,assets/icons/ftn-pwa-192.png,no static consumer found,RealityArtTV Media / FTN,FTN master-build workflow,derived from existing FTN brand mark in repository,internal FTN use; trademark status not asserted,not applicable to icon,e02077670a348c2faaf5087d347723a37c94abe8c0685f0fe04fe402715b4154,192×192,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,master-build derivative; visual owner review pending,programmatic FTN icon derivative,none recorded,none recorded
asset-2c68bedda4e9,assets/icons/ftn-pwa-512.png,no static consumer found,RealityArtTV Media / FTN,FTN master-build workflow,derived from existing FTN brand mark in repository,internal FTN use; trademark status not asserted,not applicable to icon,6440d30e878cbf8d95609f4034c59d621387900d1e02fa8f0432f70451655fb9,512×512,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,master-build derivative; visual owner review pending,programmatic FTN icon derivative,none recorded,none recorded
asset-e5a928fb1e1e,assets/icons/ftn-shortcut-mark-180.png,404.html | about/index.html | accessibility/index.html | applications/index.html | community-connect/index.html | contact/index.html | display-network/index.html | events/index.html | facethenation/index.html | ibis-ai/index.html | index.html | insights/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,b7eabdffe549ee81d064bae28e7ee8d14a4e80f81e4d677007fd39fb62489d06,180×180,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-0c25d5cbe1c3,assets/icons/ftn-shortcut-mark-192.png,god-mode/manifest.webmanifest | manifest.webmanifest | service-worker.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,8c1a39cf58c3335a426389efd411357293cd45c74f8172aebb606d510cf97c9a,192×192,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-4dfbb3605f6e,assets/icons/ftn-shortcut-mark-32.png,404.html | about/index.html | accessibility/index.html | contact/index.html | display-network/index.html | events/index.html | facethenation/index.html | ibis-ai/index.html | insights/index.html | kaiso/index.html | legal/cookie-policy/index.html | legal/data-retention/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,112c17337a00c092238baba732d1a9d2f4c7e15d692cb459750d66ac24614791,32×32,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-2196dea0e70e,assets/icons/ftn-shortcut-mark-512.png,god-mode/manifest.webmanifest | manifest.webmanifest | service-worker.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,3d2a94d6814e616138e5153e594c507afe49a3b3fa388870b099b933b9a11eae,512×512,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-a7d032256c33,assets/icons/ftn-shortcut-mark.svg,404.html | about/index.html | accessibility/index.html | account/index.html | applications/index.html | community-connect/index.html | contact/index.html | display-network/index.html | events/index.html | facethenation/index.html | glossary/index.html | govern/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,e89f8ae849176988cd976b375aa0b03634d3abc76c23a13d4d379b50bfb0df4e,64×64,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-ba2cd248b634,assets/icons/icon-chevron-down.svg,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,715c659d29b0cf580ea0bcdc5daa509ef549dfb5198d7ae4de8188ee142328ed,24×24,not applicable / not measured,SVG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-bcda94294680,assets/icons/icon-close.svg,404.html | about/index.html | accessibility/index.html | applications/index.html | community-connect/index.html | contact/index.html | display-network/index.html | events/index.html | facethenation/index.html | ibis-ai/index.html | index.html | insights/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,708c373484a0ebf72b2018fa09f1a76880d5daecec0b2cbd9d69e77e02dcd63d,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-06a003507b9d,assets/icons/icon-community.svg,facethenation/index.html | manifest.webmanifest,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,e7e9679e922844557deb889d838a66b66e68d1ccc9ed679ca25a25c2ddfc215e,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-2c00b6aa4c13,assets/icons/icon-eye-off.svg,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,fdb67a5a155ed91758df09b508041f87ff77424a471c6901cd6c8df23378a4a5,24×24,not applicable / not measured,SVG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-88bed549f474,assets/icons/icon-lock.svg,god-mode/index.html | manifest.webmanifest,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,58e71e8c35647a61f276039b26a38979e496870150df5c5de962107645aa8ca9,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-5bf290c49c8a,assets/icons/icon-menu.svg,404.html | about/index.html | accessibility/index.html | applications/index.html | community-connect/index.html | contact/index.html | display-network/index.html | events/index.html | facethenation/index.html | ibis-ai/index.html | index.html | insights/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,9e31e328cdea01205b9f07c00fd1e662a08076d9a32e595b5b947b6f8c63779a,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-1e567cf8c9f0,assets/icons/icon-pin.svg,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,6acf4d5d99ef11c5a4582bbda6b5527f4c0707e4716ce6150cf02f5c1c3bf605,24×24,not applicable / not measured,SVG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-b58b407396f4,assets/icons/icon-progress.svg,facethenation/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,e5005639bddf84da94bf8f5301fefa93a424b14a1eecc72cc86d238c8f47bf0b,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-1de036ee07a0,assets/icons/icon-report.svg,facethenation/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,df739f89cf6c6ec1bd4c156a66e1a5c78f05515afad40ca379999c206b7c6dc4,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-14975f5cc384,assets/icons/icon-share.svg,facethenation/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,a91f900c7c63bd88603f56d4bf8f25109713f0b6df70b10a20f0b2156f4a8909,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-10d9373ee0c2,assets/icons/icon-shield.svg,facethenation/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,3d8b7610ff677d1e167beb00eb552106e1d5fd63199d8d969b7c223b8fcd0c5f,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-7947d24ae8ca,assets/icons/social-facebook.svg,404.html | about/index.html | accessibility/index.html | contact/index.html | display-network/index.html | events/index.html | insights/index.html | kaiso/index.html | legal/cookie-policy/index.html | legal/data-retention/index.html | legal/privacy-policy/index.html | legal/terms-of-service/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,860110130d2ee4d2fb53c90d86c88cd4895e11e4504df79e437604ed7ec9c247,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-44f464a646a0,assets/icons/social-instagram.svg,404.html | about/index.html | accessibility/index.html | contact/index.html | display-network/index.html | events/index.html | insights/index.html | kaiso/index.html | legal/cookie-policy/index.html | legal/data-retention/index.html | legal/privacy-policy/index.html | legal/terms-of-service/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,158ffb47aa38faa846f62a546d3fffe83e75d831dfa15f0938cb9f17bfe3bda2,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-761b86de3397,assets/icons/social-linkedin.svg,404.html | about/index.html | accessibility/index.html | contact/index.html | display-network/index.html | events/index.html | insights/index.html | kaiso/index.html | legal/cookie-policy/index.html | legal/data-retention/index.html | legal/privacy-policy/index.html | legal/terms-of-service/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,081b075d3762ddd1a36365d11670fbd4d4d49bafb7969ad0ee9b62d4e76beafe,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-d7afb34b90ab,assets/icons/social-tiktok.svg,CLAUDE.md,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,cb15f8888031d88c6ecac96f65fa45266174b860eb0155d735308fea36da9a44,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-e0bcaee5d7c3,assets/icons/social-x.svg,404.html | about/index.html | accessibility/index.html | contact/index.html | display-network/index.html | events/index.html | insights/index.html | kaiso/index.html | legal/cookie-policy/index.html | legal/data-retention/index.html | legal/privacy-policy/index.html | legal/terms-of-service/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,b3c86799eb21bba6a8f2c06c9be4d41767a8b53531f3b084416ff361bba777a5,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-e803fd280e5a,assets/icons/social-youtube.svg,404.html | about/index.html | accessibility/index.html | contact/index.html | display-network/index.html | events/index.html | insights/index.html | kaiso/index.html | legal/cookie-policy/index.html | legal/data-retention/index.html | legal/privacy-policy/index.html | legal/terms-of-service/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,0a8884059c3f320a69956e9308c835ad278e280d6a85b66749264f9dddeaa80b,24×24,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-5475dc1d7c36,assets/logos/ftn-platform-oauth-app-logo.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,f737e643bec5c66de8d693b8c7832ceb1a25c13891a5457fbcc2e34f8823e5af,512×512,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-408b3eee2903,assets/logos/ftn-platform-oauth-app-logo.svg,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,5ad7be14477ca771daab5df6ec76f533c393eba29799badc75faca551e16a87c,512×512,not applicable / not measured,SVG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-6c7e895c99cf,assets/logos/ftn-platform-oauth-logo-512.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,fa4f937897fb39ca8bae2c9f58bc060b739edc18b1d556e848df1e0415de6d00,512×512,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-cadbebd7dfd9,assets/logos/logo-ftn-platform-primary-dark.svg,resources/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,958c774039e4c5dbe1f0c838c48b730d9942e82e9f3859ac6cc3a1b4c3115a6b,220×64,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-428b72336a95,assets/logos/logo-ftn-platform-primary-light.svg,resources/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,b42e4881c8bd798823bff727641a59ccc7ce782b425c0b455272c58f3edd354a,220×64,not applicable / not measured,SVG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-650c3905c436,assets/mission-control/executive-dashboard-preview.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,c273ca80f3a173469f55012c1a0c662f611038d0ba52292647da2a354da65638,1400×320,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-bde91b554cf6,assets/mission-control/executive-dashboard-preview.webp,CLAUDE.md,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,9c4efd2371355b08f58b5601a67b72b34b93010decf66b90c455d57bae9e9f5b,not-read,not applicable / not measured,WEBP,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-da2d02690043,assets/observatory/ftn-live-preview.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,8ff4a8f03e912485df38e2762ab5a1b365a301722a1d43bed5bfa48a0ebbf4fe,1400×680,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-4241556be18b,assets/observatory/ftn-live-preview.webp,CLAUDE.md,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,c3dca68b1c4d03f1da9fade3738fc99f9d8725c801070eb617edccf985b5a5d3,not-read,not applicable / not measured,WEBP,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-3e3e27352799,assets/panels/01-community-connect.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,3930ad49d2042ae9e7b246fc4fc856527fec1d7aa57375e4945df54884361e07,286×321,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-c72440aabd94,assets/panels/02-mission-control.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,911fb97503b3519ef6d1cfe64d362994c1e897ae793c8abb68e88bccf4a68423,292×321,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-0562c0b2273c,assets/panels/03-ftn-events.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,6082031672c6cc9d99bf4d1fb4d664bacead28ddb14b1703cb38e71815ef2c79,280×321,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-87bd835ede54,assets/panels/04-face-the-nation.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,d18ed9d6d0fef9005278262e257274646a95e931012cbcafb70117b887190ffa,284×321,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-c19d6f3168bf,assets/panels/05-ibis-ai.png,applications/index.html | js/ibis-ai-workspace.js | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,658c2e1599ce0b9317db65a876986f677b4c55119c4aa7f266edef685909700a,309×321,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-0cfacf9ce40b,assets/panels/06-ftn-riddim.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,e4671f3a9da6d615cecf62e6310df080271870900f879b5a761d2fa02692cde1,286×253,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-9fa9455627b4,assets/panels/07-ftn-kaiso.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,9e2f6b856e550b52f9359d40b57ef08767cf0ad0565e1108fc7627785122862c,292×253,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
